5E15	pa4(13)
5E18	lian2(53)
5E1A	zhou5(13)
5E1C	zhi4(51)
5E1D	di4(606)
5E25	shuai4(11)
5E26	dai4(1348)
5E2B	shi1(1142)
5E2D	xi2(804)
5E2E	bang1(598)
5E33	zhang4(172)
5E36	dai4(1348)
5E38	chang2(1760)
5E3D	mao4(188)
5E45	fu2(122)
5E55	mu4(137)
5E5F	zhi4(51)
5E63	bi4(58)
5E6B	bang1(598)
5E72	gan4(1464) gan1(482)
5E73	ping2(1484)
5E74	nian2(5553)
5E76	bing4(1420)
5E78	xing4(257)
5E7B	huan4(62)
5E7C	you4(66)
5E7E	ji3(2512)
5E7F	guang3(628)
5E84	zhuang1(337)
5E86	qing4(51)
5E8A	chuang2(379)
5E8F	xu4(131)
5E93	ku4(91)
5E94	ying1(1045) ying4(400) ying5(213)
5E95	di3(788)
5E97	dian4(300)
5E99	miao4(55)
5E9C	fu3(432)
5E9E	pang2(19)
5E9F	fei4(111)
5EA6	du4(1505) du5(331)
5EA7	zuo4(396)
5EAB	ku4(91)
5EAD	ting2(137)
5EB7	kang1(78)
5EB8	yong1(9)
5EC1	ce4(10)
5EC2	xiang1(18)
5EC8	sha4(17)
5EC9	lian2(13)
5ED3	kuo4(22)
5EDA	chu2(48)
5EDF	miao4(55)
5EE0	chang3(731)
5EE2	fei4(111)
5EE3	guang3(628)
5EF3	ting1(59)
5EF6	yan2(55)
5EFA	jian4(1732)
5EFF	nian4(10)
5F00	kai1(3483)
5F02	yi4(146)
5F03	qi4(51)
5F04	nong4(319)
5F0F	shi4(567) shi5(10)
5F13	gong1(36)
5F15	yin3(498)
5F1F	di4(248) di5(200)
5F20	zhang1(785)
5F25	mi2(25)
5F26	xian2(16)
5F2F	wan1(161)
5F31	ruo4(193)
5F35	zhang1(785)
5F37	qiang2(975) qiang3(88)
5F39	dan4(313) tan2(50) tan5(13)
5F3A	qiang2(975) qiang3(88)
5F48	dan4(313) tan2(50) tan5(13)
5F4C	mi2(25)
5F4E	wan1(161)
5F52	gui1(93)
5F53	dang1(2483) dang4(474) dang5(40)
5F55	lu4(143)
5F62	xing2(1016) xing5(101)
5F69	cai3(128) cai5(10)
5F71	ying3(854)
5F79	yi4(123)
5F7B	che4(257)
5F7C	bi3(60)
5F80	wang3(856) wang4(427)
5F81	zheng1(192)
5F84	jing4(69)
5F85	dai4(342)
5F88	hen3(3637)
5F8A	huai2(17)
5F8B	l¨¹4(439)
5F90	xu2(26)
5F91	jing4(69)
5F92	tu2(161)
5F97	de5(5096) de2(1496) dei3(637)
5F98	pai2(17)
5F9E	cong2(3708) cong1(25)
5FA1	yu4(42)
5FAA	xun2(32)
5FAE	wei1(511)
5FB7	de2(97)
5FB9	che4(257)
5FC3	xin1(3357) xin5(11)
5FC5	bi4(1102)
5FC6	yi4(110)
5FCD	ren3(189)
5FD7	zhi4(2082)
5FD8	wang4(312)
5FD9	mang2(686)
5FE0	zhong1(27)
5FE7	you1(23)
5FEB	kuai4(1536) kuai5(77)
5FF1	chen2(12)
5FF5	nian4(447)
5FFD	hu1(535)
5FFF	fen4(97)
6000	huai2(281)
6001	tai4(381)
600E	zen3(2090)
6012	nu4(167)
6014	zheng1(15)
6015	pa4(866)
6016	bu4(32)
601C	lian2(111)
601D	si1(1305) si5(331)
6025	ji2(621)
6026	peng1(24)
6027	xing4(1374) xing5(11)
6028	yuan4(34) yuan5(13)
602A	guai4(410)
602F	qie4(18)
603B	zong3(1599)
6046	heng2(40)
604B	lian4(11)
604D	huang3(24)
6050	kong3(109)
6052	heng2(40)
6062	hui1(111)
6065	chi3(36)
6068	hen4(131)
606F	xi5(392) xi1(105)
6070	qia4(123)
6073	ken3(64)
6076	e4(157) wu4(40)
607C	nao3(27)
6084	qiao1(218)
6085	yue4(23)
6089	xi1(111)
6094	hui3(39)
609F	wu4(69)
60A0	you1(14)
60A3	huan4(53)
60A6	yue4(23)
60A8	nin2(1593)
60AC	xuan2(52)
60B2	bei1(127)
60B6	men4(46) men1(29)
60BC	dao4(11)
60C5	qing2(1700) qing5(491)
60CA	jing1(425)
60CB	wan3(14)
60D1	huo4(12) huo5(11)
60D5	ti4(16)
60DA	hu1(12)
60DC	xi1(115)
60DF	wei2(123)
60E1	e4(157) wu4(40)
60E6	dian4(11)
60E7	ju4(16)
60E8	can3(51)
60E9	cheng2(15)
60ED	can2(24)
60EF	guan4(145)
60F1	nao3(27)
60F3	xiang3(4640)
